player_id,total_games_played,n_minutes_played,yellow_card,second_yellow_card,red_card,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,total_own_goals
P-03834,5,450,3,0,0,2,2,0,0,0,0,0
P-07019,8,780,3,0,0,3,2,0,0,0,0,0
P-07513,12,970,3,0,0,3,3,0,0,3,0,0
P-07495,8,585,3,0,0,2,2,0,0,2,0,0
P-03946,8,686,3,0,0,2,2,1,1,2,0,0
P-04760,8,627,3,0,1,2,2,0,0,0,0,0
P-00729,11,823,3,0,0,3,3,0,0,3,2,0
P-07030,11,827,3,0,0,2,2,1,1,0,0,0
P-07321,9,826,3,0,0,2,2,0,0,2,0,0
P-04289,7,624,3,0,0,1,1,0,0,0,0,0
P-07240,15,1024,3,0,1,3,3,2,1,8,0,0
P-01684,10,850,3,0,0,4,3,0,0,0,0,0
P-07803,6,530,3,0,0,2,2,0,0,1,0,0
P-06263,4,360,3,0,0,1,1,0,0,0,0,0
P-05937,6,540,3,0,0,2,2,0,0,0,0,0
P-04827,6,540,3,0,0,2,2,0,0,0,0,0
P-04958,10,900,3,0,0,2,2,0,0,1,0,0
P-04660,5,450,3,0,0,1,1,0,0,1,0,0
P-08395,7,660,3,0,0,2,1,1,0,0,0,0
P-06031,10,776,3,0,0,2,2,0,0,0,0,0
P-01912,6,369,3,0,0,2,2,0,0,0,0,0
P-06600,11,888,3,0,0,2,2,1,0,0,0,0
P-06104,13,1204,3,0,0,2,2,0,0,1,0,0
P-04365,9,667,3,0,0,2,2,0,0,1,0,0
P-08141,6,490,3,0,0,2,2,0,0,1,1,0
P-03530,4,314,3,0,0,1,1,0,0,3,0,0
P-08111,9,654,3,0,0,2,2,0,0,0,0,1
P-00568,14,1344,3,0,0,3,3,1,1,1,0,1
P-06983,16,1412,3,0,0,3,3,2,1,1,0,0
P-07957,9,787,3,0,0,2,2,0,0,3,0,0
P-06184,8,423,3,0,0,2,2,0,0,1,0,0
P-01858,23,2217,3,0,0,4,4,1,0,0,0,0
P-01792,5,510,3,0,0,1,1,1,0,0,0,0
P-09814,7,534,3,0,0,2,2,0,0,0,0,0
P-09414,4,361,3,0,1,2,2,0,0,0,0,0
P-05549,5,450,3,0,0,2,2,0,0,0,0,0
P-02210,14,1158,3,0,0,2,2,2,0,7,0,0
P-02425,11,1020,3,0,0,3,2,0,0,2,0,0
P-00047,5,395,3,0,0,2,2,0,0,0,0,0
P-09707,12,1035,3,0,0,3,3,0,0,3,0,0
P-09694,7,630,3,0,0,2,2,0,0,0,0,0
P-02113,11,853,3,1,0,3,3,0,0,0,0,0
P-05429,7,610,3,0,0,2,2,0,0,0,0,0
P-01321,13,1144,3,0,0,3,2,2,1,0,0,0
P-01533,3,270,2,0,0,1,1,0,0,0,0,0
P-01787,7,640,2,0,0,2,2,0,0,1,0,0
