match_name,score,yellow_card,red_card,substitutions,squad_x_play_in_the_match
Sweden v Uruguay,1,1,0,7,0
Sweden v Uruguay,1,1,0,7,0
Sweden v Uruguay,1,1,0,7,0
Brazil v Romania,1,2,0,4,0
Peru v West Germany,-2,0,0,4,0
Belgium v Mexico,-1,5,0,2,0
Belgium v Mexico,-1,5,0,2,0
Belgium v Mexico,-1,5,0,2,0
Israel v Italy,0,3,0,2,1
Czechoslovakia v England,-1,2,0,6,0
Czechoslovakia v England,-1,2,0,6,0
Bulgaria v Morocco,0,0,0,4,0
Brazil v Peru,2,0,0,8,0
Brazil v Peru,2,0,0,8,0
Italy v Mexico,3,5,0,7,1
Italy v Mexico,3,5,0,7,1
Italy v Mexico,3,5,0,7,1
Soviet Union v Uruguay,-1,6,0,4,0
Soviet Union v Uruguay,-1,6,0,4,0
England v West Germany,-1,6,0,10,0
England v West Germany,-1,6,0,10,0
England v West Germany,-1,6,0,10,0
England v West Germany,-1,6,0,10,0
Brazil v Uruguay,2,4,0,1,0
Brazil v Uruguay,2,4,0,1,0
Italy v West Germany,1,11,0,11,1
Italy v West Germany,1,11,0,11,1
Italy v West Germany,1,11,0,11,1
Italy v West Germany,1,11,0,11,1
Uruguay v West Germany,-1,4,2,4,0
Uruguay v West Germany,-1,4,2,4,0
Uruguay v West Germany,-1,4,2,4,0
Brazil v Italy,3,9,0,9,1
Brazil v Italy,3,9,0,9,1
Brazil v Italy,3,9,0,9,1
Brazil v Italy,3,9,0,9,1
Brazil v Italy,3,9,0,9,1
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Brazil v Yugoslavia,0,2,0,0,0
Chile v West Germany,-1,5,1,7,0
Chile v West Germany,-1,5,1,7,0
Chile v West Germany,-1,5,1,7,0
Australia v East Germany,-2,3,0,1,0
Scotland v Zaire,2,2,0,3,0
Bulgaria v Sweden,0,2,0,7,0
Bulgaria v Sweden,0,2,0,7,0
Netherlands v Uruguay,2,8,1,5,0
Netherlands v Uruguay,2,8,1,5,0
Haiti v Italy,-2,1,0,2,1
Argentina v Poland,-1,2,0,4,0
Argentina v Poland,-1,2,0,4,0
Australia v West Germany,-3,0,0,4,0
Chile v East Germany,0,3,0,4,0
Brazil v Scotland,0,3,0,1,0
Brazil v Scotland,0,3,0,1,0
Brazil v Scotland,0,3,0,1,0
Brazil v Scotland,0,3,0,1,0
Yugoslavia v Zaire,9,1,1,2,0
Bulgaria v Uruguay,0,2,0,3,0
Netherlands v Sweden,0,5,0,3,0
Argentina v Italy,0,11,1,11,1
Argentina v Italy,0,11,1,11,1
Argentina v Italy,0,11,1,11,1
Argentina v Italy,0,11,1,11,1
Argentina v Italy,0,11,1,11,1
Haiti v Poland,-7,1,0,4,0
Australia v Chile,0,1,1,4,0
Australia v Chile,0,1,1,4,0
Scotland v Yugoslavia,0,5,0,2,0
Scotland v Yugoslavia,0,5,0,2,0
Brazil v Zaire,3,2,0,4,0
East Germany v West Germany,1,3,0,3,0
Bulgaria v Netherlands,-3,5,0,4,0
Sweden v Uruguay,3,1,0,7,0
Sweden v Uruguay,3,1,0,7,0
Sweden v Uruguay,3,1,0,7,0
Argentina v Haiti,3,3,0,4,0
Italy v Poland,-1,7,0,7,1
Italy v Poland,-1,7,0,7,1
Italy v Poland,-1,7,0,7,1
West Germany v Yugoslavia,2,4,0,4,0
West Germany v Yugoslavia,2,4,0,4,0
West Germany v Yugoslavia,2,4,0,4,0
West Germany v Yugoslavia,2,4,0,4,0
West Germany v Yugoslavia,2,4,0,4,0
Brazil v East Germany,1,5,0,2,0
Argentina v Netherlands,-4,18,2,18,0
Argentina v Netherlands,-4,18,2,18,0
Argentina v Netherlands,-4,18,2,18,0
Argentina v Netherlands,-4,18,2,18,0
Argentina v Netherlands,-4,18,2,18,0
Poland v Sweden,1,2,0,3,0
Argentina v Brazil,-1,4,1,10,0
Argentina v Brazil,-1,4,1,10,0
Argentina v Brazil,-1,4,1,10,0
Argentina v Brazil,-1,4,1,10,0
East Germany v Netherlands,-2,0,0,2,0
Poland v Yugoslavia,1,0,0,4,0
Sweden v West Germany,-2,1,0,3,0
Sweden v West Germany,-2,1,0,3,0
Poland v West Germany,-1,0,0,2,0
Poland v West Germany,-1,0,0,2,0
Argentina v East Germany,0,2,0,2,0
Brazil v Netherlands,-2,13,2,10,0
Brazil v Netherlands,-2,13,2,10,0
Brazil v Netherlands,-2,13,2,10,0
Brazil v Netherlands,-2,13,2,10,0
Brazil v Netherlands,-2,13,2,10,0
Sweden v Yugoslavia,1,2,0,2,0
Brazil v Poland,-1,7,0,10,0
Brazil v Poland,-1,7,0,10,0
Brazil v Poland,-1,7,0,10,0
Brazil v Poland,-1,7,0,10,0
Netherlands v West Germany,-1,7,1,3,0
Netherlands v West Germany,-1,7,1,3,0
Netherlands v West Germany,-1,7,1,3,0
Poland v West Germany,0,0,0,2,0
Poland v West Germany,0,0,0,2,0
France v Italy,-1,15,1,18,1
France v Italy,-1,15,1,18,1
France v Italy,-1,15,1,18,1
France v Italy,-1,15,1,18,1
France v Italy,-1,15,1,18,1
Mexico v Tunisia,-2,0,0,3,0
Argentina v Hungary,1,3,2,7,0
Argentina v Hungary,1,3,2,7,0
Argentina v Hungary,1,3,2,7,0
Austria v Spain,1,0,0,4,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Brazil v Sweden,0,8,0,10,0
Iran v Netherlands,-3,0,0,2,0
Peru v Scotland,2,1,0,4,0
Hungary v Italy,-2,2,0,4,1
Hungary v Italy,-2,2,0,4,1
Poland v Tunisia,1,0,0,2,0
Mexico v West Germany,-6,12,2,6,0
Mexico v West Germany,-6,12,2,6,0
Argentina v France,1,1,0,3,0
Argentina v France,1,1,0,3,0
Argentina v France,1,1,0,3,0
Austria v Sweden,1,0,0,3,0
Brazil v Spain,0,1,0,4,0
Brazil v Spain,0,1,0,4,0
Brazil v Spain,0,1,0,4,0
Brazil v Spain,0,1,0,4,0
Brazil v Spain,0,1,0,4,0
Netherlands v Peru,0,1,0,3,0
Iran v Scotland,0,0,0,4,0
France v Hungary,2,0,0,3,0
France v Hungary,2,0,0,3,0
Mexico v Poland,-2,0,0,3,0
