manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins,C-1,C-2,C-3,Segm K-means PCA,Segment
M-229,5.0,1,0.6,0.2,0.2,2,0.0,1.4223980594660133,0.015199206089290818,-1.0015476069650193,4,4
M-236,5.0,1,0.6,0.2,0.2,6,0.0,1.7561447105724788,-0.0397100884109932,-1.0485874917470714,4,4
M-239,7.0,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,-1,0.0,1.0995669234052756,-0.20051603289857411,-0.931801369943869,4,4
M-241,4.0,1,0.25,0.25,0.5,0,0.0,0.26335907141535064,1.5708227080758754,-0.5030425072013517,4,4
M-247,5.0,1,0.6,0.2,0.2,3,0.0,1.5058347222426298,0.0014718824642198094,-1.0133075781605323,4,4
M-261,5.0,1,0.4,0.2,0.4,1,0.0,1.0173420941356552,1.0710841611962085,-0.7883310331622284,4,4
M-267,4.0,1,0.25,0.25,0.5,-2,0.0,0.09648574586211803,1.5982773553260174,-0.4795225648103256,4,4
M-281,7.0,1,0.5714285714285714,0.14285714285714285,0.2857142857142857,3,0.0,2.2330514094030622,0.5144278256330735,-1.215487907238857,4,4
M-285,5.0,1,0.2,0.4,0.4,-1,0.0,0.12984263288162692,1.0807204170649214,-0.4984301327085083,4,4
M-289,4.0,1,0.5,0.25,0.25,1,0.0,0.7488198623841446,0.2543983450984963,-0.7666232316559619,4,4
M-292,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,0.0,-0.18190257051676412,0.6780480144161758,-0.4419659583730631,4,4
M-295,5.0,1,0.4,0.4,0.2,1,0.0,0.6183352609886016,0.011108138332932893,-0.7234066777068122,4,4
M-304,4.0,1,0.25,0.25,0.5,0,0.0,0.26335907141535064,1.5708227080758754,-0.5030425072013517,4,4
M-306,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-308,7.0,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,4,0.0,1.5167502372883575,-0.26915265102392916,-0.9906012259214341,4,4
M-310,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-311,4.0,1,0.5,0.25,0.25,2,0.0,0.8322565251607609,0.24067102147342526,-0.7783832028514749,4,4
M-318,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7,0.0,-0.682522547176462,0.7604119561666018,-0.371406131199985,4,4
M-323,5.0,1,0.6,0.2,0.2,5,0.0,1.6727080477958625,-0.025982764785922194,-1.0368275205515582,4,4
M-326,4.0,1,0.25,0.5,0.25,0,0.0,-0.2353994700184666,0.24585267949678122,-0.42188706288208133,4,4
M-331,4.0,1,0.5,0.25,0.25,1,0.0,0.7488198623841446,0.2543983450984963,-0.7666232316559619,4,4
M-336,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-3,0.0,-0.34877589606999676,0.7055026616663178,-0.41844601598203707,4,4
M-340,4.0,1,0.25,0.25,0.5,-3,0.0,0.013049083085501694,1.6120046789510885,-0.46776259361481265,4,4
M-350,4.0,1,0.25,0.25,0.5,-1,0.0,0.17992240863873435,1.5845500317009464,-0.49128253600583865,4,4
M-351,4.0,1,0.25,0.5,0.25,-2,0.0,-0.4022727955716992,0.2733073267469232,-0.39836712049105527,4,4
