match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
England v Romania,T-27,England,ENG,T-58,Romania,ROU,1–0,1,0,1,-1,0,0,1,0,0,0,3
Bulgaria v Peru,T-10,Bulgaria,BGR,T-54,Peru,PER,2–3,2,3,-1,1,0,0,0,1,0,0,4
Belgium v El Salvador,T-06,Belgium,BEL,T-26,El Salvador,SLV,3–0,3,0,3,-3,0,0,1,0,2,0,6
Italy v Sweden,T-39,Italy,ITA,T-71,Sweden,SWE,1–0,1,0,1,-1,0,0,1,0,1,0,3
Brazil v Czechoslovakia,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,4–1,4,1,3,-3,0,0,1,0,1,3,3
Morocco v West Germany,T-45,Morocco,MAR,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,0,0,4
Belgium v Soviet Union,T-06,Belgium,BEL,T-69,Soviet Union,SUN,1–4,1,4,-3,3,0,0,0,1,1,0,6
Italy v Uruguay,T-39,Italy,ITA,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,0,0,2
Czechoslovakia v Romania,T-20,Czechoslovakia,CSK,T-58,Romania,ROU,1–2,1,2,-1,1,0,0,0,1,2,0,4
Morocco v Peru,T-45,Morocco,MAR,T-54,Peru,PER,0–3,0,3,-3,3,0,0,0,1,0,0,4
El Salvador v Mexico,T-26,El Salvador,SLV,T-44,Mexico,MEX,0–4,0,4,-4,4,0,0,0,1,4,0,4
Israel v Sweden,T-38,Israel,ISR,T-71,Sweden,SWE,1–1,1,1,0,0,0,0,0,0,3,0,2
